Instrument Serial Num,Test Label,Date,Time,Method ID,Test Status,Real Time 1,Real Time 2,Real Time 3,User Factor Name,Units,Al Concentration,Al Error1s,As Concentration,As Error1s,Fe Concentration,Fe Error1s,Rb Concentration,Rb Error1s,Ti Concentration,Ti Error1s,LE Concentration,LE Error1s
sep=,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Num,Test Label,Date,Time,,,Real Time 1,Real Time 2,Real Time 3,User Factor Name,,Al Concentration,Al Error1s,As Concentration,As Error1s,Fe Concentration,Fe Error1s,Rb Concentration,Rb Error1s,Ti Concentration,Ti Error1s,LE Concentration,LE Error1s
803071,4-RP3,2021-03-10,10:47:46,,,15,15,15,,,52544,542,21,2,142161,536,47,1,8003,121,655178,827
803071,4-RP4,2021-03-10,10:48:39,,,15,15,15,,,52577,543,14,2,142771,539,49,1,7715,120,654572,829
803071,4-RP5,2021-03-10,10:49:32,,,15,15,15,,,51671,538,19,2,141999,535,48,1,8183,121,655689,825
803071,4-RP6,2021-03-10,10:50:24,,,15,15,15,,,52963,544,18,2,142775,538,49,1,7976,120,653202,830
803071,4-RP7,2021-03-10,10:51:17,,,15,15,15,,,52797,541,12,2,142454,537,45,1,7852,119,654021,829
803071,4-RP8,2021-03-10,10:52:10,,,15,15,15,,,52123,538,19,2,142155,535,47,1,7984,121,655680,824
803071,4-RP9,2021-03-10,10:53:03,,,15,15,15,,,51880,538,16,2,142039,535,45,1,8041,121,655765,825
803071,4-RP10,2021-03-10,10:53:55,,,15,15,15,,,50978,533,17,2,141404,533,45,1,7902,120,657303,824
803071,4-RP11,2021-03-10,10:54:49,,,15,15,15,,,51819,538,12,2,142631,538,48,1,7905,121,654176,828
803071,4-RP12,2021-03-10,10:55:41,,,15,15,15,,,52222,538,20,2,142093,534,46,1,7950,120,655005,824
803071,4-RP13,2021-03-10,10:56:34,,,15,15,15,,,52734,540,18,2,141986,534,47,1,8081,121,654526,825
803071,4-RP14,2021-03-10,10:57:26,,,15,15,15,,,52568,540,15,2,142301,536,45,1,7894,120,654680,827
803071,4-RP15,2021-03-10,10:58:19,,,15,15,15,,,53377,544,17,2,142940,538,45,1,8060,121,652139,830
803071,4-RP16,2021-03-10,10:59:12,,,15,15,15,,,52805,541,14,2,142766,537,48,1,8103,121,652695,828
803071,4-RP17,2021-03-10,11:00:04,,,15,15,15,,,52440,539,20,2,142511,536,47,1,7894,120,653730,827
803071,4-RP18,2021-03-10,11:00:57,,,15,15,15,,,52706,538,13,2,141733,532,44,1,7914,120,655178,822
803071,4-RP19,2021-03-10,11:01:50,,,15,15,15,,,52076,537,19,2,142260,536,48,1,7933,122,654741,825
803071,4-RP20,2021-03-10,11:02:42,,,15,15,15,,,52262,537,13,2,142290,535,46,1,7977,120,654162,825
