Instrument Serial Num,Test Label,Test Status,Date,Time,Method Name,Method ID,User Factor Name,Units,Real Time 1,Real Time 2,Real Time 3
sep=,,,,,,,,,,,
Instrument Serial Num,Test Label,,Date,Time,Method Name,,User Factor Name,,Real Time 1,Real Time 2,Real Time 3
803071,1-RP1,,2021-03-10,09:59:24,Geochem(3-Beam),,,,15,15,15
803071,1-RP2,,2021-03-10,10:00:15,Geochem(3-Beam),,,,15,15,15
803071,1-RP3,,2021-03-10,10:01:07,Geochem(3-Beam),,,,15,15,15
803071,1-RP4,,2021-03-10,10:01:58,Geochem(3-Beam),,,,15,15,15
803071,1-RP5,,2021-03-10,10:02:50,Geochem(3-Beam),,,,15,15,15
803071,2-RP1,,2021-03-10,10:04:08,Geochem(3-Beam),,,,15,15,15
803071,2-RP2,,2021-03-10,10:05:00,Geochem(3-Beam),,,,15,15,15
803071,2-RP3,,2021-03-10,10:05:52,Geochem(3-Beam),,,,15,15,15
803071,2-RP4,,2021-03-10,10:06:44,Geochem(3-Beam),,,,15,15,15
803071,2-RP5,,2021-03-10,10:07:36,Geochem(3-Beam),,,,15,15,15
803071,2-RP6,,2021-03-10,10:08:28,Geochem(3-Beam),,,,15,15,15
803071,2-RP7,,2021-03-10,10:09:20,Geochem(3-Beam),,,,15,15,15
803071,2-RP8,,2021-03-10,10:10:12,Geochem(3-Beam),,,,15,15,15
803071,2-RP9,,2021-03-10,10:11:04,Geochem(3-Beam),,,,15,15,15
803071,2-RP10,,2021-03-10,10:11:56,Geochem(3-Beam),,,,15,15,15
803071,2-RP11,,2021-03-10,10:12:48,Geochem(3-Beam),,,,15,15,15
803071,2-RP12,,2021-03-10,10:13:40,Geochem(3-Beam),,,,15,15,15
803071,2-RP13,,2021-03-10,10:14:32,Geochem(3-Beam),,,,15,15,15
803071,2-RP14,,2021-03-10,10:15:24,Geochem(3-Beam),,,,15,15,15
803071,2-RP15,,2021-03-10,10:16:16,Geochem(3-Beam),,,,15,15,15
803071,2-RP16,,2021-03-10,10:17:08,Geochem(3-Beam),,,,15,15,15
803071,2-RP17,,2021-03-10,10:18:00,Geochem(3-Beam),,,,15,15,15
803071,2-RP18,,2021-03-10,10:18:52,Geochem(3-Beam),,,,15,15,15
